ticket_id,description,root_cause,resolution
KAFKA-13139,"Empty response after requesting to restart a connector without the tasks results in NPE. After https://issues.apache.org/jira/browse/KAFKA-4793 a response to restart only the connector (without any tasks) returns OK with an empty body.   As system test runs revealed, this causes an NPE in [https://github.com/apache/kafka/blob/trunk/connect/runtime/src/main/java/org/apache/kafka/connect/runtime/rest/RestClient.java#L135]  We should return 204 (NO_CONTENT) instead.   This is a regression from previous behavior, therefore the ticket is marked as a blocker candidate for 3.0","The restart-connector REST path returned HTTP 200 with an empty body when no tasks were restarted, but the client expected a response body and dereferenced it, causing an NPE.","Thanks a lot [~rhauch] and [~kkonstantine] for taking care of the fix and unblocking the release. | Just to clarify what appears to have happened.  As [~kpatelatwork] [mentions in a comment on the PR|https://github.com/apache/kafka/pull/11132], the behavior of the Connect restart API in AK 2.8 and e"
KAFKA-13129,"Fix broken system tests relate to the ConfigCommand change. After KAFKA-12598, the system tests failed in {{upgrade_test}}, {{zookeeper_tls_encrypt_only_test.py,}} and {{zookeeper_tls_test.py}}. Fix them.",A ConfigCommand change broke the upgrade and ZooKeeper TLS system tests because the tests were not updated for the changed CLI/config behavior.,Fixed
KAFKA-13128,Flaky Test StoreQueryIntegrationTest.shouldQueryStoresAfterAddingAndRemovingStreamThread. h3. Stacktrace  java.lang.AssertionError: Expected: is not null but: was null    at org.hamcrest.MatcherAssert.assertThat(MatcherAssert.java:20)    at org.hamcrest.MatcherAssert.assertThat(MatcherAssert.java:6)   at org.apache.kafka.streams.integration.StoreQueryIntegrationTest.lambda$shouldQueryStoresAfterAddingAndRemovingStreamThread$19(StoreQueryIntegrationTest.java:461)   at org.apache.kafka.streams.integration.StoreQueryIntegrationTest.until(StoreQueryIntegrationTest.java:506)   at org.apache.kafka.streams.integration.StoreQueryIntegrationTest.shouldQueryStoresAfterAddingAndRemovingStreamThread(StoreQueryIntegrationTest.java:455)     https://ci-builds.apache.org/job/Kafka/job/kafka-pr/job/PR-11085/5/testReport/org.apache.kafka.streams.integration/StoreQueryIntegrationTest/Build___JDK_,"The test races with asynchronous StreamThread/store updates, so the queried store entry can be observed before it is populated.","The failure is from the second line in this series of assertions  {code:java} assertThat(store1.get(key), is(notNullValue())); assertThat(store1.get(key2), is(notNullValue())); assertThat(store1.get(k"
KAFKA-13127,Fix stray partition lookup logic. The result of `BrokerMetadataPublisher.findGhostReplicas` is inverted. It returns all of the non-stray replicas. This causes all of these partitions to get deleted on startup by mistake.,The result of `BrokerMetadataPublisher.findGhostReplicas` is inverted.,Fixed
KAFKA-13126,"Overflow in joinGroupTimeoutMs when max.poll.interval.ms is MAX_VALUE leads to missing rebalances. In older versions of Kafka Streams, the {{max.poll.interval.ms}} config was overridden by default to {{Integer.MAX_VALUE}}. Even after we removed this override, users of both the plain consumer client and kafka streams still set the poll interval to MAX_VALUE somewhat often. Unfortunately, this causes an overflow when computing the {{joinGroupTimeoutMs}} and results in it being set to the {{request.timeout.ms}} instead, which is much lower.  This can easily make consumers drop out of the group, since they must rejoin now within 30s (by default) but have no obligation to almost ever call poll() given the high {{max.poll.interval.ms}} – basically they will only do so after processing the last record from the previously polled batch. So in heavy processing cases, where each record takes a lon","Unfortunately, this causes an overflow when computing the `joinGroupTimeoutMs` and results in it being set to the `request.timeout.ms` instead, which is much lower.",Fixed
KAFKA-13122,"resource leak due to not close KeyValueIterator implemented instances. Found there are ""many"" KeyValueIterator implemented instances don't explicitly get closed, which will cause resource leak.  From the java doc in KeyValueIterator:  {color:#808080}* Users must call its {{color}{color:#808080}@code {color}{color:#808080}close} method explicitly upon completeness to release resources{color}     This issue mostly happen in tests because we usually query state store to get result iterator, and then do verification, but forgot close it. This issue also *appear in the example code in our developer guide docs*.     I'll use try-with-resource to fix them. To avoid huge PR created, I split this bug into 3 sub-tasks.","`KeyValueIterator` instances are not explicitly closed after use, so resources owned by the iterators remain allocated.","All sub-tasks are resolved. Closing this ticket. | Thank you, I hope I've fixed all the resource leaks! | Nice findings, thanks [~showuon]!"
KAFKA-13119,Validate the KRaft controllerListener config on startup. ,Startup validation was missing for the KRaft controller listener configuration.,Fixed
KAFKA-13106,"Offsets deletion error. When I use:  kafka-consumer-groups.sh --bootstrap-server broker:9092 --delete-offsets --group myGroup --topic myTopic     I have a error:     SLF4J: Class path contains multiple SLF4J bindings.  SLF4J: Found binding in [jar:file:/kafka/libs/slf4j-log4j12-1.7.26.jar!/org/slf4j/impl/StaticLoggerBinder.class]  SLF4J: Found binding in [jar:file:/kafka/libs/slf4j-log4j12-1.7.30.jar!/org/slf4j/impl/StaticLoggerBinder.class]  SLF4J: See [http://www.slf4j.org/codes.html#multiple_bindings] for an explanation.  SLF4J: Actual binding is of type [org.slf4j.impl.Log4jLoggerFactory]  Exception in thread ""main"" joptsimple.UnrecognizedOptionException: delete-offsets is not a recognized option          at joptsimple.OptionException.unrecognizedOption(OptionException.java:108)          at joptsimple.OptionP",The requested offset-deletion operation is unsupported in Kafka 2.3.1.,version 2.3.1 does not suport it
KAFKA-13104,"Controller should notify the RaftClient when it resigns. {code:java}       private Throwable handleEventException(String name,                                              Optional<Long> startProcessingTimeNs,                                              Throwable exception) {           ...           renounce();           return new UnknownServerException(exception);       }  {code} When the active controller encounters an event exception it attempts to renounce leadership. Unfortunately, this doesn't tell the {{RaftClient}} that it should attempt to give up leadership. This will result in inconsistent state with the {{RaftClient}} as leader but with the controller as inactive.  We should change this implementation so that the active controller asks the {{RaftClient}} to resign. The active controller waits until {{handleLeaderChange}} before cal",Controller event exception handling resigns the controller without notifying the RaftClient of the resignation.,Fixed
KAFKA-13100,"Controller cannot revert to an in-memory snapshot. {code:java}   [2021-07-16 16:34:55,578] DEBUG [Controller 3002] Executing handleRenounce[3]. (org.apache.kafka.controller.QuorumController)   [2021-07-16 16:34:55,578] WARN [Controller 3002] Renouncing the leadership at oldEpoch 3 due to a metadata log event. Reverting to last committed offset 214. (org.apache.kafka.controller.QuorumController)   [2021-07-16 16:34:55,579] WARN [Controller 3002] org.apache.kafka.controller.QuorumController@646b1289: failed with unknown server exception RuntimeException at epoch -1 in 1510 us.  Reverting to last committed offset 214. (org.apache.kafka.controller.  QuorumController)   java.lang.RuntimeException: No snapshot for epoch 214. Snapshot epochs are: -1, 1, 3, 5, 11, 16, 21, 26, 31, 36, 41, 46, 51, 56, 61, 94, 96, 97, 107, 108, 112, 125, 126, 128, 13",Controller snapshot recovery does not correctly restore/revert the in-memory snapshot state after controller resignation.,"Fixed. Thanks, [~jagsancio]! | Here is an example that triggers this error:  1. Controller 3002 starts as inactive and replays a batch with a last offset of 214 {code:java} [2021-07-16 16:34:46,950] DEBUG [RaftManager nodeId=3002] "
KAFKA-13098,No such file exception when recovering snapshots in metadata log dir. {code:java} RaftClusterTest > testCreateClusterAndCreateListDeleteTopic() FAILED     java.io.UncheckedIOException: java.nio.file.NoSuchFileException: /tmp/kafka-286994548094074875/broker_0_data0/@metadata-0/partition.metadata.tmp         at java.nio.file.FileTreeIterator.fetchNextIfNeeded(FileTreeIterator.java:88)         at java.nio.file.FileTreeIterator.hasNext(FileTreeIterator.java:104)         at java.util.Iterator.forEachRemaining(Iterator.java:115)         at java.util.Spliterators$IteratorSpliterator.forEachRemaining(Spliterators.java:1801)         at java.util.stream.AbstractPipeline.copyInto(AbstractPipeline.java:482)                                                at java.util.stream.AbstractPipeline.wrapAndCopyInto(AbstractPipeline.java:472)         at java.util.stream.ForEachOps,"Snapshot recovery can reference a metadata-log temporary file that has already been removed, producing NoSuchFileException.",Fixed
KAFKA-13096,"QueryableStoreProvider is not updated when threads are added/removed/replaced rendering IQ impossible. The QueryableStoreProviders class is used to route queries to the correct state store on the owning StreamThread, making it a critical piece of IQ. It gets instantiated when you create a new KafkaStreams, and is passed in a list of StreamThreadStateStoreProviders which it then copies and stores. Because it only stores a copy it only ever contains a provider for the StreamThreads that were created during the app's startup, and unfortunately is never updated during an add/remove/replace thread event.   This means that IQ can’t get a handle on any stores that belong to a thread that wasn’t in the original set. If the app is starting up new threads through the #addStreamThread API or following a REPLACE_THREAD event, none of the data in any of the stores owned by that new thread will be access","it only stores a copy it only ever contains a provider for the StreamThreads that were created during the app's startup, and unfortunately is never updated during an add/remove/replace thread event.",Fixed
KAFKA-13092,"Perf regression in LISR requests. With the addition of partition metadata files, we have an extra operation to do when handling LISR requests. This really slows down the processing, so we should flush asynchronously to fix this regression.","LISR handling synchronously flushes partition metadata files, adding disk I/O to the request path and causing a performance regression.",merged the PR to 3.0 and trunk.
KAFKA-13080,"Fetch snapshot request are not directed to kraft in controller. Kraft followers and observer are seeing the following error {code:java} [2021-07-13 18:15:47,289] ERROR [RaftManager nodeId=2] Unexpected error UNKNOWN_SERVER_ERROR in FETCH_SNAPSHOT response: InboundResponse(correlationId=29862, data=FetchSnapshotResponseData(throttleTimeMs=0, errorCode=-1, topics=[]), sourceId=3001) (org.apache.kafka.raft.KafkaRaftClient) {code} This is because ControllerApis is not directing FetchSnapshost request to the raft manager.",ControllerApis is not directing FetchSnapshost request to the raft manager.,Fixed
KAFKA-13078,"Closing FileRawSnapshotWriter too early. We are getting the following error {code:java}   [2021-07-13 17:23:42,174] ERROR [kafka-raft-io-thread]: Error due to (kafka.raft.KafkaRaftManager$RaftIoThread)   java.io.UncheckedIOException: Error calculating snapshot size. temp path = /mnt/kafka/kafka-metadata-logs/@metadata-0/00000000000000000062-0000000002-3249768281228588378.checkpoint.part, snapshotId = OffsetAndEpoch(offset=62, epoch=2).       at org.apache.kafka.snapshot.FileRawSnapshotWriter.sizeInBytes(FileRawSnapshotWriter.java:63)       at org.apache.kafka.raft.KafkaRaftClient.maybeSendFetchOrFetchSnapshot(KafkaRaftClient.java:2044)       at org.apache.kafka.raft.KafkaRaftClient.pollFollowerAsObserver(KafkaRaftClient.java:2032)       at org.apache.kafka.raft.KafkaRaftClient.pollFollower(KafkaRaftClient.java:1995)       at org.","FileRawSnapshotWriter can be closed before the Raft client finishes calculating the snapshot size, causing snapshot I/O to fail.",Fixed
